model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
SpeechBrain,196,IISc_VaaniProject_S_Bihar_Kishanganj_96226_10903129_KTVEM_158236_0_8247,1.0,0.9828496042216359,0.9913506320691949,0.9842424242424243,1.0,0.0,0.017150395778364115
Pyannote,197,IISc_VaaniProject_S_Bihar_Lakhisarai_119148_11967528_BHLSFIM_238480_9905_16537,0.9079939668174962,1.0,0.9517786561264822,0.9085457271364318,0.06153846153846154,0.09200603318250378,0.0
FunASR,197,IISc_VaaniProject_S_Bihar_Lakhisarai_119148_11967528_BHLSFIM_238480_9905_16537,0.9065573770491804,0.9186046511627907,0.9125412541254125,0.8403614457831325,0.08064516129032258,0.09344262295081968,0.08139534883720931
Silero,197,IISc_VaaniProject_S_Bihar_Lakhisarai_119148_11967528_BHLSFIM_238480_9905_16537,0.9079939668174962,1.0,0.9517786561264822,0.9081325301204819,0.016129032258064516,0.09200603318250378,0.0
SpeechBrain,197,IISc_VaaniProject_S_Bihar_Lakhisarai_119148_11967528_BHLSFIM_238480_9905_16537,1.0,0.9617940199335548,0.9805249788314987,0.9653614457831325,1.0,0.0,0.03820598006644518
Pyannote,198,IISc_VaaniProject_S_Bihar_Madhepura_124213_12061600_BHGJLK_208940_11551_18413,0.9763406940063092,1.0,0.9880287310454908,0.9782293178519593,0.7857142857142857,0.02365930599369085,0.0
FunASR,198,IISc_VaaniProject_S_Bihar_Madhepura_124213_12061600_BHGJLK_208940_11551_18413,0.9049707602339181,1.0,0.9501151189562548,0.9051094890510949,0.015151515151515152,0.09502923976608187,0.0
Silero,198,IISc_VaaniProject_S_Bihar_Madhepura_124213_12061600_BHGJLK_208940_11551_18413,0.9464831804281345,1.0,0.9725058915946583,0.9490538573508006,0.4852941176470588,0.053516819571865444,0.0
SpeechBrain,198,IISc_VaaniProject_S_Bihar_Madhepura_124213_12061600_BHGJLK_208940_11551_18413,1.0,0.7883683360258481,0.8816621499548328,0.8084795321637427,1.0,0.0,0.21163166397415187
Pyannote,199,IISc_VaaniProject_S_Bihar_Madhepura_141012_13019365_CGBTHO_45893_8164_21135,0.8632148377125193,1.0,0.9265864786395687,0.8636363636363636,0.022099447513812154,0.1367851622874807,0.0
FunASR,199,IISc_VaaniProject_S_Bihar_Madhepura_141012_13019365_CGBTHO_45893_8164_21135,0.8625482625482626,1.0,0.9262023217247097,0.8626543209876543,0.00558659217877095,0.13745173745173744,0.0
Silero,199,IISc_VaaniProject_S_Bihar_Madhepura_141012_13019365_CGBTHO_45893_8164_21135,0.9080553295362083,0.999104744852283,0.9514066496163683,0.9121725731895224,0.3756906077348066,0.0919446704637917,0.0008952551477170994
SpeechBrain,199,IISc_VaaniProject_S_Bihar_Madhepura_141012_13019365_CGBTHO_45893_8164_21135,0.9750922509225092,0.946284691136974,0.9604725124943208,0.9327146171693735,0.8465909090909091,0.024907749077490774,0.05371530886302596
